FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
1,ED,All Drugs,Age,0-15 Years,11,11/01/2023,11/30/2023,5.644508671,Percent
1,ED,All Opioids,Age,0-15 Years,11,11/01/2023,11/30/2023,0.020231214,Percent
1,ED,Stimulants,Age,0-15 Years,11,11/01/2023,11/30/2023,0.01734104,Percent
1,ED,Cannabis,Age,0-15 Years,11,11/01/2023,11/30/2023,0.239884393,Percent
1,ED,Benzodiazepine,Age,0-15 Years,11,11/01/2023,11/30/2023,0.00867052,Percent
1,ED,All Drugs,Age,0-15 Years,12,12/01/2023,12/31/2023,5.737683195,Percent
1,ED,All Opioids,Age,0-15 Years,12,12/01/2023,12/31/2023,0.0106008,Percent
1,ED,Stimulants,Age,0-15 Years,12,12/01/2023,12/31/2023,0.018551401,Percent
1,ED,Cannabis,Age,0-15 Years,12,12/01/2023,12/31/2023,0.185514006,Percent
1,ED,Benzodiazepine,Age,0-15 Years,12,12/01/2023,12/31/2023,0.0053004,Percent
1,ED,All Drugs,Age,0-15 Years,13,01/01/2024,01/31/2024,5.802036919,Percent
1,ED,All Opioids,Age,0-15 Years,13,01/01/2024,01/31/2024,0.022278803,Percent
1,ED,Stimulants,Age,0-15 Years,13,01/01/2024,01/31/2024,0.025461489,Percent
1,ED,Cannabis,Age,0-15 Years,13,01/01/2024,01/31/2024,0.254614895,Percent
1,ED,Benzodiazepine,Age,0-15 Years,13,01/01/2024,01/31/2024,0.015913431,Percent
1,ED,All Drugs,Age,0-15 Years,14,02/01/2024,02/29/2024,5.850315708,Percent
1,ED,All Opioids,Age,0-15 Years,14,02/01/2024,02/29/2024,0.011969955,Percent
1,ED,Stimulants,Age,0-15 Years,14,02/01/2024,02/29/2024,0.011969955,Percent
1,ED,Cannabis,Age,0-15 Years,14,02/01/2024,02/29/2024,0.194511775,Percent
1,ED,Benzodiazepine,Age,0-15 Years,14,02/01/2024,02/29/2024,0.005984978,Percent
1,ED,All Drugs,Age,0-15 Years,15,03/01/2024,03/31/2024,5.445835538,Percent
1,ED,All Opioids,Age,0-15 Years,15,03/01/2024,03/31/2024,0.017633574,Percent
1,ED,Stimulants,Age,0-15 Years,15,03/01/2024,03/31/2024,0.035267149,Percent
1,ED,Cannabis,Age,0-15 Years,15,03/01/2024,03/31/2024,0.211602892,Percent
1,ED,Benzodiazepine,Age,0-15 Years,15,03/01/2024,03/31/2024,0.005877858,Percent
1,ED,All Drugs,Age,0-15 Years,16,04/01/2024,04/30/2024,5.694435829,Percent
1,ED,All Opioids,Age,0-15 Years,16,04/01/2024,04/30/2024,0.018609267,Percent
1,ED,Stimulants,Age,0-15 Years,16,04/01/2024,04/30/2024,0.027913901,Percent
1,ED,Cannabis,Age,0-15 Years,16,04/01/2024,04/30/2024,0.229514298,Percent
1,ED,Benzodiazepine,Age,0-15 Years,16,04/01/2024,04/30/2024,0.024812357,Percent
1,ED,All Drugs,Age,0-15 Years,17,05/01/2024,05/31/2024,5.633846536,Percent
1,ED,All Opioids,Age,0-15 Years,17,05/01/2024,05/31/2024,0.021728334,Percent
1,ED,Stimulants,Age,0-15 Years,17,05/01/2024,05/31/2024,0.021728334,Percent
1,ED,Cannabis,Age,0-15 Years,17,05/01/2024,05/31/2024,0.291780482,Percent
1,ED,Benzodiazepine,Age,0-15 Years,17,05/01/2024,05/31/2024,0.006208095,Percent
1,ED,All Drugs,Age,0-15 Years,18,06/01/2024,06/30/2024,5.555555556,Percent
1,ED,All Opioids,Age,0-15 Years,18,06/01/2024,06/30/2024,0.018568033,Percent
1,ED,Stimulants,Age,0-15 Years,18,06/01/2024,06/30/2024,0.014854427,Percent
1,ED,Cannabis,Age,0-15 Years,18,06/01/2024,06/30/2024,0.252525253,Percent
1,ED,Benzodiazepine,Age,0-15 Years,18,06/01/2024,06/30/2024,0.007427213,Percent
1,ED,All Drugs,Age,0-15 Years,19,07/01/2024,07/31/2024,5.447761194,Percent
1,ED,All Opioids,Age,0-15 Years,19,07/01/2024,07/31/2024,0.023566379,Percent
1,ED,Stimulants,Age,0-15 Years,19,07/01/2024,07/31/2024,0.043205027,Percent
1,ED,Cannabis,Age,0-15 Years,19,07/01/2024,07/31/2024,0.196386489,Percent
1,ED,Benzodiazepine,Age,0-15 Years,19,07/01/2024,07/31/2024,0.015710919,Percent
1,ED,All Drugs,Age,0-15 Years,20,08/01/2024,08/31/2024,5.637583893,Percent
1,ED,All Opioids,Age,0-15 Years,20,08/01/2024,08/31/2024,0.026845638,Percent
1,ED,Stimulants,Age,0-15 Years,20,08/01/2024,08/31/2024,0.026845638,Percent
1,ED,Cannabis,Age,0-15 Years,20,08/01/2024,08/31/2024,0.180249281,Percent
1,ED,Benzodiazepine,Age,0-15 Years,20,08/01/2024,08/31/2024,0.011505273,Percent
1,ED,All Drugs,Age,0-15 Years,21,09/01/2024,09/30/2024,6.042553191,Percent
1,ED,All Opioids,Age,0-15 Years,21,09/01/2024,09/30/2024,0.029459902,Percent
1,ED,Stimulants,Age,0-15 Years,21,09/01/2024,09/30/2024,0.029459902,Percent
1,ED,Cannabis,Age,0-15 Years,21,09/01/2024,09/30/2024,0.248772504,Percent
1,ED,Benzodiazepine,Age,0-15 Years,21,09/01/2024,09/30/2024,0.016366612,Percent
1,ED,All Drugs,Age,0-15 Years,22,10/01/2024,10/31/2024,6.126379505,Percent
1,ED,All Opioids,Age,0-15 Years,22,10/01/2024,10/31/2024,0.009171227,Percent
1,ED,Stimulants,Age,0-15 Years,22,10/01/2024,10/31/2024,0.024456605,Percent
1,ED,Cannabis,Age,0-15 Years,22,10/01/2024,10/31/2024,0.281250955,Percent
1,ED,Benzodiazepine,Age,0-15 Years,22,10/01/2024,10/31/2024,0.015285378,Percent
1,ED,All Drugs,Age,0-15 Years,23,11/01/2024,11/30/2024,5.789213261,Percent
1,ED,All Opioids,Age,0-15 Years,23,11/01/2024,11/30/2024,0.015462642,Percent
1,ED,Stimulants,Age,0-15 Years,23,11/01/2024,11/30/2024,0.034017813,Percent
1,ED,Cannabis,Age,0-15 Years,23,11/01/2024,11/30/2024,0.231939634,Percent
1,ED,Benzodiazepine,Age,0-15 Years,23,11/01/2024,11/30/2024,0.009277585,Percent
1,ED,All Drugs,Age,0-15 Years,24,12/01/2024,12/31/2024,5.183901197,Percent
1,ED,All Opioids,Age,0-15 Years,24,12/01/2024,12/31/2024,0.021667299,Percent
1,ED,Stimulants,Age,0-15 Years,24,12/01/2024,12/31/2024,0.027084123,Percent
1,ED,Cannabis,Age,0-15 Years,24,12/01/2024,12/31/2024,0.167921564,Percent
1,ED,Benzodiazepine,Age,0-15 Years,24,12/01/2024,12/31/2024,0.013542062,Percent
1,ED,All Drugs,Age,16-34 Years,1,01/01/2023,01/31/2023,24.78950092,Percent
1,ED,All Opioids,Age,16-34 Years,1,01/01/2023,01/31/2023,0.877275507,Percent
1,ED,Stimulants,Age,16-34 Years,1,01/01/2023,01/31/2023,0.754974364,Percent
1,ED,Cannabis,Age,16-34 Years,1,01/01/2023,01/31/2023,1.862740486,Percent
1,ED,Benzodiazepine,Age,16-34 Years,1,01/01/2023,01/31/2023,0.131708923,Percent
1,ED,All Drugs,Age,16-34 Years,2,02/01/2023,02/28/2023,25.19652674,Percent
1,ED,All Opioids,Age,16-34 Years,2,02/01/2023,02/28/2023,1.040435699,Percent
1,ED,Stimulants,Age,16-34 Years,2,02/01/2023,02/28/2023,0.84005549,Percent
1,ED,Cannabis,Age,16-34 Years,2,02/01/2023,02/28/2023,1.944715614,Percent
1,ED,Benzodiazepine,Age,16-34 Years,2,02/01/2023,02/28/2023,0.151569645,Percent
1,ED,All Drugs,Age,16-34 Years,3,03/01/2023,03/31/2023,24.86191628,Percent
1,ED,All Opioids,Age,16-34 Years,3,03/01/2023,03/31/2023,0.999680467,Percent
1,ED,Stimulants,Age,16-34 Years,3,03/01/2023,03/31/2023,0.801113799,Percent
1,ED,Cannabis,Age,16-34 Years,3,03/01/2023,03/31/2023,1.816770895,Percent
1,ED,Benzodiazepine,Age,16-34 Years,3,03/01/2023,03/31/2023,0.178025289,Percent
1,ED,All Drugs,Age,16-34 Years,4,04/01/2023,04/30/2023,24.34553123,Percent
1,ED,All Opioids,Age,16-34 Years,4,04/01/2023,04/30/2023,1.039138528,Percent
1,ED,Stimulants,Age,16-34 Years,4,04/01/2023,04/30/2023,0.881264874,Percent
1,ED,Cannabis,Age,16-34 Years,4,04/01/2023,04/30/2023,1.826150475,Percent
1,ED,Benzodiazepine,Age,16-34 Years,4,04/01/2023,04/30/2023,0.143735715,Percent
1,ED,All Drugs,Age,16-34 Years,5,05/01/2023,05/31/2023,24.39529751,Percent
1,ED,All Opioids,Age,16-34 Years,5,05/01/2023,05/31/2023,1.015720013,Percent
1,ED,Stimulants,Age,16-34 Years,5,05/01/2023,05/31/2023,0.878338814,Percent
1,ED,Cannabis,Age,16-34 Years,5,05/01/2023,05/31/2023,1.824242151,Percent
1,ED,Benzodiazepine,Age,16-34 Years,5,05/01/2023,05/31/2023,0.162154858,Percent
1,ED,All Drugs,Age,16-34 Years,6,06/01/2023,06/30/2023,24.39479889,Percent
1,ED,All Opioids,Age,16-34 Years,6,06/01/2023,06/30/2023,0.978126386,Percent
1,ED,Stimulants,Age,16-34 Years,6,06/01/2023,06/30/2023,0.891752457,Percent
1,ED,Cannabis,Age,16-34 Years,6,06/01/2023,06/30/2023,1.85820669,Percent
1,ED,Benzodiazepine,Age,16-34 Years,6,06/01/2023,06/30/2023,0.09104279,Percent
1,ED,All Drugs,Age,16-34 Years,7,07/01/2023,07/31/2023,24.25939145,Percent
1,ED,All Opioids,Age,16-34 Years,7,07/01/2023,07/31/2023,0.90122245,Percent
1,ED,Stimulants,Age,16-34 Years,7,07/01/2023,07/31/2023,0.936914428,Percent
1,ED,Cannabis,Age,16-34 Years,7,07/01/2023,07/31/2023,1.710984206,Percent
1,ED,Benzodiazepine,Age,16-34 Years,7,07/01/2023,07/31/2023,0.100383689,Percent
1,ED,All Drugs,Age,16-34 Years,8,08/01/2023,08/31/2023,23.89889612,Percent
1,ED,All Opioids,Age,16-34 Years,8,08/01/2023,08/31/2023,1.050574151,Percent
1,ED,Stimulants,Age,16-34 Years,8,08/01/2023,08/31/2023,0.908424583,Percent
1,ED,Cannabis,Age,16-34 Years,8,08/01/2023,08/31/2023,1.683583946,Percent
1,ED,Benzodiazepine,Age,16-34 Years,8,08/01/2023,08/31/2023,0.146591742,Percent
1,ED,All Drugs,Age,16-34 Years,9,09/01/2023,09/30/2023,23.64833853,Percent
1,ED,All Opioids,Age,16-34 Years,9,09/01/2023,09/30/2023,0.95924362,Percent
1,ED,Stimulants,Age,16-34 Years,9,09/01/2023,09/30/2023,0.855975766,Percent
1,ED,Cannabis,Age,16-34 Years,9,09/01/2023,09/30/2023,1.652285662,Percent
1,ED,Benzodiazepine,Age,16-34 Years,9,09/01/2023,09/30/2023,0.128511107,Percent
1,ED,All Drugs,Age,16-34 Years,10,10/01/2023,10/31/2023,23.64854017,Percent
1,ED,All Opioids,Age,16-34 Years,10,10/01/2023,10/31/2023,1.066489301,Percent
1,ED,Stimulants,Age,16-34 Years,10,10/01/2023,10/31/2023,0.846310864,Percent
1,ED,Cannabis,Age,16-34 Years,10,10/01/2023,10/31/2023,1.82105915,Percent
1,ED,Benzodiazepine,Age,16-34 Years,10,10/01/2023,10/31/2023,0.135317997,Percent
1,ED,All Drugs,Age,16-34 Years,11,11/01/2023,11/30/2023,23.583719,Percent
1,ED,All Opioids,Age,16-34 Years,11,11/01/2023,11/30/2023,0.95170286,Percent
1,ED,Stimulants,Age,16-34 Years,11,11/01/2023,11/30/2023,0.745223686,Percent
1,ED,Cannabis,Age,16-34 Years,11,11/01/2023,11/30/2023,1.753886318,Percent
1,ED,Benzodiazepine,Age,16-34 Years,11,11/01/2023,11/30/2023,0.128159487,Percent
1,ED,All Drugs,Age,16-34 Years,12,12/01/2023,12/31/2023,22.63976519,Percent
1,ED,All Opioids,Age,16-34 Years,12,12/01/2023,12/31/2023,0.758048487,Percent
1,ED,Stimulants,Age,16-34 Years,12,12/01/2023,12/31/2023,0.728003883,Percent
1,ED,Cannabis,Age,16-34 Years,12,12/01/2023,12/31/2023,1.705609097,Percent
1,ED,Benzodiazepine,Age,16-34 Years,12,12/01/2023,12/31/2023,0.087822691,Percent
1,ED,All Drugs,Age,16-34 Years,13,01/01/2024,01/31/2024,22.36614255,Percent
1,ED,All Opioids,Age,16-34 Years,13,01/01/2024,01/31/2024,0.729606797,Percent
1,ED,Stimulants,Age,16-34 Years,13,01/01/2024,01/31/2024,0.692664681,Percent
1,ED,Cannabis,Age,16-34 Years,13,01/01/2024,01/31/2024,1.623144236,Percent
1,ED,Benzodiazepine,Age,16-34 Years,13,01/01/2024,01/31/2024,0.087737526,Percent
1,ED,All Drugs,Age,16-34 Years,14,02/01/2024,02/29/2024,22.563815,Percent
1,ED,All Opioids,Age,16-34 Years,14,02/01/2024,02/29/2024,0.714337957,Percent
1,ED,Stimulants,Age,16-34 Years,14,02/01/2024,02/29/2024,0.626569471,Percent
1,ED,Cannabis,Age,16-34 Years,14,02/01/2024,02/29/2024,1.613964941,Percent
1,ED,Benzodiazepine,Age,16-34 Years,14,02/01/2024,02/29/2024,0.095082527,Percent
1,ED,All Drugs,Age,16-34 Years,15,03/01/2024,03/31/2024,22.44101979,Percent
1,ED,All Opioids,Age,16-34 Years,15,03/01/2024,03/31/2024,0.768169711,Percent
1,ED,Stimulants,Age,16-34 Years,15,03/01/2024,03/31/2024,0.75152207,Percent
1,ED,Cannabis,Age,16-34 Years,15,03/01/2024,03/31/2024,1.759893455,Percent
1,ED,Benzodiazepine,Age,16-34 Years,15,03/01/2024,03/31/2024,0.087994673,Percent
1,ED,All Drugs,Age,16-34 Years,16,04/01/2024,04/30/2024,22.46943939,Percent
1,ED,All Opioids,Age,16-34 Years,16,04/01/2024,04/30/2024,0.716430615,Percent
1,ED,Stimulants,Age,16-34 Years,16,04/01/2024,04/30/2024,0.768448679,Percent
1,ED,Cannabis,Age,16-34 Years,16,04/01/2024,04/30/2024,1.525075072,Percent
1,ED,Benzodiazepine,Age,16-34 Years,16,04/01/2024,04/30/2024,0.085120469,Percent
1,ED,All Drugs,Age,16-34 Years,17,05/01/2024,05/31/2024,22.82175528,Percent
1,ED,All Opioids,Age,16-34 Years,17,05/01/2024,05/31/2024,0.643057694,Percent
1,ED,Stimulants,Age,16-34 Years,17,05/01/2024,05/31/2024,0.706457748,Percent
1,ED,Cannabis,Age,16-34 Years,17,05/01/2024,05/31/2024,1.693687166,Percent
1,ED,Benzodiazepine,Age,16-34 Years,17,05/01/2024,05/31/2024,0.070192917,Percent
1,ED,All Drugs,Age,16-34 Years,18,06/01/2024,06/30/2024,22.6162612,Percent
1,ED,All Opioids,Age,16-34 Years,18,06/01/2024,06/30/2024,0.676170887,Percent
1,ED,Stimulants,Age,16-34 Years,18,06/01/2024,06/30/2024,0.820389153,Percent
1,ED,Cannabis,Age,16-34 Years,18,06/01/2024,06/30/2024,1.688062983,Percent
1,ED,Benzodiazepine,Age,16-34 Years,18,06/01/2024,06/30/2024,0.096933589,Percent
1,ED,All Drugs,Age,16-34 Years,19,07/01/2024,07/31/2024,22.15422556,Percent
1,ED,All Opioids,Age,16-34 Years,19,07/01/2024,07/31/2024,0.691891398,Percent
1,ED,Stimulants,Age,16-34 Years,19,07/01/2024,07/31/2024,0.689607928,Percent
1,ED,Cannabis,Age,16-34 Years,19,07/01/2024,07/31/2024,1.628114082,Percent
1,ED,Benzodiazepine,Age,16-34 Years,19,07/01/2024,07/31/2024,0.089055328,Percent
1,ED,All Drugs,Age,16-34 Years,20,08/01/2024,08/31/2024,21.2871966,Percent
1,ED,All Opioids,Age,16-34 Years,20,08/01/2024,08/31/2024,0.749645747,Percent
1,ED,Stimulants,Age,16-34 Years,20,08/01/2024,08/31/2024,0.758787768,Percent
1,ED,Cannabis,Age,16-34 Years,20,08/01/2024,08/31/2024,1.631850802,Percent
1,ED,Benzodiazepine,Age,16-34 Years,20,08/01/2024,08/31/2024,0.086849202,Percent
1,ED,All Drugs,Age,16-34 Years,21,09/01/2024,09/30/2024,21.47522628,Percent
1,ED,All Opioids,Age,16-34 Years,21,09/01/2024,09/30/2024,0.676495288,Percent
1,ED,Stimulants,Age,16-34 Years,21,09/01/2024,09/30/2024,0.646169637,Percent
1,ED,Cannabis,Age,16-34 Years,21,09/01/2024,09/30/2024,1.506951572,Percent
1,ED,Benzodiazepine,Age,16-34 Years,21,09/01/2024,09/30/2024,0.102640664,Percent
1,ED,All Drugs,Age,16-34 Years,22,10/01/2024,10/31/2024,21.76072131,Percent
1,ED,All Opioids,Age,16-34 Years,22,10/01/2024,10/31/2024,0.5812623,Percent
1,ED,Stimulants,Age,16-34 Years,22,10/01/2024,10/31/2024,0.695684013,Percent
1,ED,Cannabis,Age,16-34 Years,22,10/01/2024,10/31/2024,1.649961097,Percent
1,ED,Benzodiazepine,Age,16-34 Years,22,10/01/2024,10/31/2024,0.105267976,Percent
1,ED,All Drugs,Age,16-34 Years,23,11/01/2024,11/30/2024,22.04681814,Percent
1,ED,All Opioids,Age,16-34 Years,23,11/01/2024,11/30/2024,0.688502016,Percent
1,ED,Stimulants,Age,16-34 Years,23,11/01/2024,11/30/2024,0.713091374,Percent
1,ED,Cannabis,Age,16-34 Years,23,11/01/2024,11/30/2024,1.708960362,Percent
1,ED,Benzodiazepine,Age,16-34 Years,23,11/01/2024,11/30/2024,0.100816367,Percent
1,ED,All Drugs,Age,16-34 Years,24,12/01/2024,12/31/2024,21.38779095,Percent
1,ED,All Opioids,Age,16-34 Years,24,12/01/2024,12/31/2024,0.550123662,Percent
1,ED,Stimulants,Age,16-34 Years,24,12/01/2024,12/31/2024,0.570926658,Percent
1,ED,Cannabis,Age,16-34 Years,24,12/01/2024,12/31/2024,1.507061461,Percent
1,ED,Benzodiazepine,Age,16-34 Years,24,12/01/2024,12/31/2024,0.064720431,Percent
1,ED,All Drugs,Age,35-54 Years,1,01/01/2023,01/31/2023,36.17642499,Percent
1,ED,All Opioids,Age,35-54 Years,1,01/01/2023,01/31/2023,1.632990543,Percent
1,ED,Stimulants,Age,35-54 Years,1,01/01/2023,01/31/2023,1.488295179,Percent
1,ED,Cannabis,Age,35-54 Years,1,01/01/2023,01/31/2023,1.072296005,Percent
1,ED,Benzodiazepine,Age,35-54 Years,1,01/01/2023,01/31/2023,0.209291509,Percent
1,ED,All Drugs,Age,35-54 Years,2,02/01/2023,02/28/2023,35.81440309,Percent
1,ED,All Opioids,Age,35-54 Years,2,02/01/2023,02/28/2023,1.714383192,Percent
1,ED,Stimulants,Age,35-54 Years,2,02/01/2023,02/28/2023,1.464191283,Percent
1,ED,Cannabis,Age,35-54 Years,2,02/01/2023,02/28/2023,1.114491229,Percent
1,ED,Benzodiazepine,Age,35-54 Years,2,02/01/2023,02/28/2023,0.230290279,Percent
1,ED,All Drugs,Age,35-54 Years,3,03/01/2023,03/31/2023,35.78484626,Percent
1,ED,All Opioids,Age,35-54 Years,3,03/01/2023,03/31/2023,1.680099037,Percent
1,ED,Stimulants,Age,35-54 Years,3,03/01/2023,03/31/2023,1.384502665,Percent
1,ED,Cannabis,Age,35-54 Years,3,03/01/2023,03/31/2023,0.987847705,Percent
1,ED,Benzodiazepine,Age,35-54 Years,3,03/01/2023,03/31/2023,0.189484854,Percent
1,ED,All Drugs,Age,35-54 Years,4,04/01/2023,04/30/2023,35.45684477,Percent
1,ED,All Opioids,Age,35-54 Years,4,04/01/2023,04/30/2023,1.625566445,Percent
1,ED,Stimulants,Age,35-54 Years,4,04/01/2023,04/30/2023,1.380545895,Percent
1,ED,Cannabis,Age,35-54 Years,4,04/01/2023,04/30/2023,1.027505533,Percent
1,ED,Benzodiazepine,Age,35-54 Years,4,04/01/2023,04/30/2023,0.202866477,Percent
1,ED,All Drugs,Age,35-54 Years,5,05/01/2023,05/31/2023,35.56486405,Percent
