DrugRecordID,FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE,Hospital Name,Facility ID,Address,City/Town,State,ZIP Code,Year,Month,Quarter,DURATION_DAYS,MedianIncome,Population,UnemploymentRate,PovertyRate,BachelorsDegreeOrHigher
19,0,IP,Overall Summary,Overall Summary,Overall Summary,19,2024-07-01,2024-07-31,59385.0,Count,FAYETTEVILLE AR VA MEDICAL CENTER,04009F,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,2024,7,2024Q3,30,60233.0,4976162.0,4.05,11.94,34.96
20,0,IP,Overall Summary,Overall Summary,Overall Summary,20,2024-08-01,2024-08-31,59881.0,Count,DAVIS REGIONAL MEDICAL CENTER,344036,218 OLD MOCKSBVILLE RD PO BOX 1823,STATESVILLE,NC,28687,2024,8,2024Q3,30,72889.0,4991531.0,4.07,11.99,35.17
21,0,IP,Overall Summary,Overall Summary,Overall Summary,21,2024-09-01,2024-09-30,57815.0,Count,HAWKINS COUNTY MEMORIAL HOSPITAL,440032,851 LOCUST STREET,ROGERSVILLE,TN,37857,2024,9,2024Q3,29,69263.0,5020029.0,3.93,12.03,34.98
22,0,IP,Overall Summary,Overall Summary,Overall Summary,22,2024-10-01,2024-10-31,60583.0,Count,SANFORD JACKSON MEDICAL CENTER,241315,1430 NORTH HIGHWAY,JACKSON,MN,56143,2024,10,2024Q4,30,87067.0,5000357.0,4.01,12.09,34.91
23,0,IP,Overall Summary,Overall Summary,Overall Summary,23,2024-11-01,2024-11-30,55924.0,Count,CONNECTICUT MENTAL HEALTH CENTER,074011,34 PARK STREET,NEW HAVEN,CT,6508,2024,11,2024Q4,29,92956.0,5022824.0,4.01,12.12,35.0
24,0,IP,Overall Summary,Overall Summary,Overall Summary,24,2024-12-01,2024-12-31,49151.0,Count,SMYTH COUNTY COMMUNITY HOSPITAL,490038,245 MEDICAL PARK DRIVE,MARION,VA,24354,2024,12,2024Q4,30,91897.0,5007068.0,3.94,11.96,34.91
25,0,ED,Overall Summary,Overall Summary,Overall Summary,1,2023-01-01,2023-01-31,156460.0,Count,ST PETER'S HOSPITAL,330057,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,2023,1,2023Q1,30,82095.0,5003284.0,3.93,11.92,35.17
26,0,ED,Overall Summary,Overall Summary,Overall Summary,2,2023-02-01,2023-02-28,145253.0,Count,MAINEHEALTH FRANKLIN HOSPITAL,201316,111 FRANKLIN HEALTH COMMONS,FARMINGTON,ME,4938,2023,2,2023Q1,27,73733.0,5023447.0,4.03,12.0,34.93
27,0,ED,Overall Summary,Overall Summary,Overall Summary,3,2023-03-01,2023-03-31,164121.0,Count,SPRINGFIELD HOSPITAL CENTER,214004,6655 SYKESVILLE ROAD,SYKESVILLE,MD,21784,2023,3,2023Q1,30,98678.0,4996034.0,4.02,11.94,35.1
28,0,ED,Overall Summary,Overall Summary,Overall Summary,4,2023-04-01,2023-04-30,158466.0,Count,WEST PENN HOSPITAL,390090,4800 FRIENDSHIP AVENUE,PITTSBURGH,PA,15224,2023,4,2023Q2,29,73824.0,4995132.0,3.96,11.93,34.85
29,0,ED,Overall Summary,Overall Summary,Overall Summary,5,2023-05-01,2023-05-31,166645.0,Count,"AURORA BEHAVIORAL HEALTHCARE-SANTA ROSA, LLC",054151,1287 FULTON ROAD,SANTA ROSA,CA,95401,2023,5,2023Q2,30,95521.0,4977549.0,4.0,11.91,35.07
30,0,ED,Overall Summary,Overall Summary,Overall Summary,6,2023-06-01,2023-06-30,158697.0,Count,COPLEY MEMORIAL HOSPITAL,140029,2000 OGDEN AVENUE,AURORA,IL,60504,2023,6,2023Q2,29,80306.0,5019028.0,4.0,12.06,35.0
31,0,ED,Overall Summary,Overall Summary,Overall Summary,7,2023-07-01,2023-07-31,163084.0,Count,CORYELL MEMORIAL HOSPITAL,451379,1507 W MAIN STREET,GATESVILLE,TX,76528,2023,7,2023Q3,30,75780.0,4981069.0,3.92,11.93,35.05
32,0,ED,Overall Summary,Overall Summary,Overall Summary,8,2023-08-01,2023-08-31,163658.0,Count,THE MEDICAL CENTER AT FRANKLIN,181318,1100 BROOKHAVEN ROAD,FRANKLIN,KY,42135,2023,8,2023Q3,30,61118.0,5003166.0,4.06,11.95,35.07
33,0,ED,Overall Summary,Overall Summary,Overall Summary,9,2023-09-01,2023-09-30,161092.0,Count,LANAI COMMUNITY HOSPITAL,121305,628 7TH STREET,LANAI CITY,HI,96763,2023,9,2023Q3,29,95322.0,4989302.0,4.03,11.92,34.98
34,0,ED,Overall Summary,Overall Summary,Overall Summary,10,2023-10-01,2023-10-31,165058.0,Count,JOHNS HOPKINS ALL CHILDREN'S HOSPITAL,103300,501 SIXTH AVENUE SOUTH,SAINT PETERSBURG,FL,33701,2023,10,2023Q4,30,73311.0,5001635.0,3.94,12.02,35.1
35,0,ED,Overall Summary,Overall Summary,Overall Summary,11,2023-11-01,2023-11-30,160619.0,Count,GENESIS HLTH SYSTEM DBA GENESIS MDL CTR-ILLINI,140275,801 ILLINI DR,SILVIS,IL,61282,2023,11,2023Q4,29,80306.0,5019028.0,4.0,12.06,35.0
36,0,ED,Overall Summary,Overall Summary,Overall Summary,12,2023-12-01,2023-12-31,170027.0,Count,TRI VALLEY HEALTH SYSTEM,281348,1305 WEST HIGHWAY 6/34,CAMBRIDGE,NE,69022,2023,12,2023Q4,30,74590.0,5006508.0,3.95,11.93,34.98
37,0,ED,Overall Summary,Overall Summary,Overall Summary,13,2024-01-01,2024-01-31,162176.0,Count,MINIMALLY INVASIVE SURGERY HOSPITAL,170199,11217 LAKEVIEW AVENUE,LENEXA,KS,66219,2024,1,2024Q1,30,71487.0,5005840.0,4.03,11.9,34.95
38,0,ED,Overall Summary,Overall Summary,Overall Summary,14,2024-02-01,2024-02-29,156496.0,Count,MOBRIDGE REGIONAL HOSPITAL - CAH,431325,1401 10TH AVE WEST,MOBRIDGE,SD,57601,2024,2,2024Q1,28,73933.0,5014559.0,3.92,11.9,34.97
39,0,ED,Overall Summary,Overall Summary,Overall Summary,15,2024-03-01,2024-03-31,162346.0,Count,GRAND ISLAND REGIONAL MEDICAL CENTER,280139,3533 PRAIRIEVIEW STREET,GRAND ISLAND,NE,68803,2024,3,2024Q1,30,75956.0,4994672.0,3.97,11.98,35.14
40,0,ED,Overall Summary,Overall Summary,Overall Summary,16,2024-04-01,2024-04-30,162109.0,Count,BANNER IRONWOOD MEDICAL CENTER,030130,37000 NORTH GANTZEL ROAD,QUEEN CREEK,AZ,85140,2024,4,2024Q2,29,79498.0,4998877.0,4.06,12.04,35.15
41,0,ED,Overall Summary,Overall Summary,Overall Summary,17,2024-05-01,2024-05-31,168101.0,Count,OTIS R BOWEN CENTER FOR HUMAN SERVICES INC,154014,9 PEQUIGNOT DR,PIERCETON,IN,46562,2024,5,2024Q2,30,70390.0,4975040.0,3.93,11.93,35.05
42,0,ED,Overall Summary,Overall Summary,Overall Summary,18,2024-06-01,2024-06-30,158674.0,Count,CALDWELL MEDICAL CENTER,181322,100 MEDICAL CENTER DRIVE,PRINCETON,KY,42445,2024,6,2024Q2,29,62817.0,4994795.0,4.05,11.91,35.02
43,0,ED,Overall Summary,Overall Summary,Overall Summary,19,2024-07-01,2024-07-31,162869.0,Count,UPMC LITITZ,390068,1500 HIGHLANDS DRIVE,LITITZ,PA,17543,2024,7,2024Q3,30,75737.0,4980673.0,4.08,12.05,35.08
44,0,ED,Overall Summary,Overall Summary,Overall Summary,20,2024-08-01,2024-08-31,163009.0,Count,VALLEY HOSPITAL MEDICAL CENTER,290021,620 SHADOW LANE,LAS VEGAS,NV,89106,2024,8,2024Q3,30,78254.0,5003532.0,4.06,11.99,35.06
45,0,ED,Overall Summary,Overall Summary,Overall Summary,21,2024-09-01,2024-09-30,161562.0,Count,CAROMONT REGIONAL MEDICAL CENTER,340032,2525 COURT DR,GASTONIA,NC,28052,2024,9,2024Q3,29,72889.0,4991531.0,4.07,11.99,35.17
46,0,ED,Overall Summary,Overall Summary,Overall Summary,22,2024-10-01,2024-10-31,165221.0,Count,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,050112,1250 16TH STREET,SANTA MONICA,CA,90404,2024,10,2024Q4,30,97901.0,4989131.0,3.96,11.99,34.93
47,0,ED,Overall Summary,Overall Summary,Overall Summary,23,2024-11-01,2024-11-30,156872.0,Count,FISHER COUNTY HOSPITAL DISTRICT,451313,774 STATE HIGHWAY 70 N,ROTAN,TX,79546,2024,11,2024Q4,29,77908.0,5021848.0,4.06,12.11,35.03
48,0,ED,Overall Summary,Overall Summary,Overall Summary,24,2024-12-01,2024-12-31,169022.0,Count,VALLEY HOSPITAL,034026,3550 EAST PINCHOT AVENUE,PHOENIX,AZ,85018,2024,12,2024Q4,30,79498.0,4998877.0,4.06,12.04,35.15
48,0,ED,Overall Summary,Overall Summary,Overall Summary,24,2024-12-01,2024-12-31,169022.0,Count,VALLEY HOSPITAL,310012,4 VALLEY HEALTH PLAZA,PARAMUS,NJ,7652,2024,12,2024Q4,30,101972.0,4993073.0,4.0,12.02,35.11
49,1,ED,All Drugs,Age,0-15 Years,1,2023-01-01,2023-01-31,6.253098457,Percent,SERENITY SPRINGS SPECIALTY HOSPITAL,194074,1495 FRAZIER ROAD,RUSTON,LA,71270,2023,1,2023Q1,30,58229.0,4985783.0,4.0,11.99,35.13
50,1,ED,All Opioids,Age,0-15 Years,1,2023-01-01,2023-01-31,0.013220081,Percent,CHI ST. VINCENT HOSPITAL HOT SPRINGS,040026,300 WERNER STREET,HOT SPRINGS,AR,71903,2023,1,2023Q1,30,58700.0,5002194.0,4.04,11.9,35.15
51,1,ED,Stimulants,Age,0-15 Years,1,2023-01-01,2023-01-31,0.033050203,Percent,HAVASU REGIONAL MEDICAL CENTER,030069,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,2023,1,2023Q1,30,77315.0,4997635.0,4.04,12.04,34.92
52,1,ED,Cannabis,Age,0-15 Years,1,2023-01-01,2023-01-31,0.320586972,Percent,SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON,450831,4301 B VISTA,PASADENA,TX,77504,2023,1,2023Q1,30,75780.0,4981069.0,3.92,11.93,35.05
53,1,ED,Benzodiazepine,Age,0-15 Years,1,2023-01-01,2023-01-31,0.013220081,Percent,BMH-CALHOUN,251331,140 BURKE-CALHOUN CITY ROAD,CALHOUN CITY,MS,38916,2023,1,2023Q1,30,54203.0,5022389.0,3.92,11.93,35.01
54,1,ED,All Drugs,Age,0-15 Years,2,2023-02-01,2023-02-28,6.35504724,Percent,NOVANT HEALTH MEDICAL PARK HOSPITAL,340148,1950 S HAWTHORNE RD,WINSTON-SALEM,NC,27103,2023,2,2023Q1,27,70804.0,4990227.0,3.97,12.01,35.09
55,1,ED,All Opioids,Age,0-15 Years,2,2023-02-01,2023-02-28,0.036466103,Percent,MEMORIAL HOSPITAL AND MANOR,110036,4700 WATERS AVENUE,SAVANNAH,GA,31404,2023,2,2023Q1,27,74632.0,4995498.0,4.03,12.02,35.12
55,1,ED,All Opioids,Age,0-15 Years,2,2023-02-01,2023-02-28,0.036466103,Percent,MEMORIAL HOSPITAL AND MANOR,110132,1500 E SHOTWELL STREET,BAINBRIDGE,GA,39819,2023,2,2023Q1,27,74632.0,4995498.0,4.03,12.02,35.12
56,1,ED,Stimulants,Age,0-15 Years,2,2023-02-01,2023-02-28,0.019890602,Percent,TEMPE ST LUKES HOSPITAL,030037,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,2023,2,2023Q1,27,77315.0,4997635.0,4.04,12.04,34.92
57,1,ED,Cannabis,Age,0-15 Years,2,2023-02-01,2023-02-28,0.23205702,Percent,KENNEDY KRIEGER INSTITUTE,213301,707 NORTH  BROADWAY,BALTIMORE,MD,21205,2023,2,2023Q1,27,98678.0,4996034.0,4.02,11.94,35.1
58,1,ED,Benzodiazepine,Age,0-15 Years,2,2023-02-01,2023-02-28,0.019890602,Percent,UNIVERSITY OF ALABAMA HOSPITAL,010033,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,2023,2,2023Q1,27,62212.0,4977698.0,3.92,11.89,35.03
59,1,ED,All Drugs,Age,0-15 Years,3,2023-03-01,2023-03-31,6.243352784,Percent,RINGGOLD COUNTY HOSPITAL,161373,504 NORTH CLEVELAND STREET,MOUNT AYR,IA,50854,2023,3,2023Q1,30,71433.0,4977623.0,4.07,11.96,34.95
60,1,ED,All Opioids,Age,0-15 Years,3,2023-03-01,2023-03-31,0.037368134,Percent,LADY OF THE SEA GENERAL HOSPITAL,191325,200 WEST 134TH PLACE,CUT OFF,LA,70345,2023,3,2023Q1,30,58229.0,4985783.0,4.0,11.99,35.13
61,1,ED,Stimulants,Age,0-15 Years,3,2023-03-01,2023-03-31,0.037368134,Percent,WEST BOCA MEDICAL CENTER,100268,21644 STATE RD 7,BOCA RATON,FL,33428,2023,3,2023Q1,30,73311.0,5001635.0,3.94,12.02,35.1
62,1,ED,Cannabis,Age,0-15 Years,3,2023-03-01,2023-03-31,0.278823766,Percent,SAN RAMON REGIONAL MEDICAL CENTER,050689,6001 NORRIS CANYON ROAD,SAN RAMON,CA,94583,2023,3,2023Q1,30,95521.0,4977549.0,4.0,11.91,35.07
63,1,ED,Benzodiazepine,Age,0-15 Years,3,2023-03-01,2023-03-31,0.011497887,Percent,O.A.S.I.S. HOSPITAL,030131,750 NORTH 40TH STREET,PHOENIX,AZ,85008,2023,3,2023Q1,30,77315.0,4997635.0,4.04,12.04,34.92
64,1,ED,All Drugs,Age,0-15 Years,4,2023-04-01,2023-04-30,5.902606985,Percent,UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER,260102,7900 LEE'S SUMMIT RD,KANSAS CITY,MO,64139,2023,4,2023Q2,29,68545.0,5023881.0,4.06,11.91,34.95
65,1,ED,All Opioids,Age,0-15 Years,4,2023-04-01,2023-04-30,0.039965568,Percent,COOSA VALLEY MEDICAL CENTER,010164,315 W HICKORY ST,SYLACAUGA,AL,35150,2023,4,2023Q2,29,62212.0,4977698.0,3.92,11.89,35.03
66,1,ED,Stimulants,Age,0-15 Years,4,2023-04-01,2023-04-30,0.046114117,Percent,STONEWALL JACKSON MEMORIAL HOSPITAL,510038,230 HOSPITAL PLAZA,WESTON,WV,26452,2023,4,2023Q2,29,55948.0,5014845.0,3.97,11.93,35.15
67,1,ED,Cannabis,Age,0-15 Years,4,2023-04-01,2023-04-30,0.23364486,Percent,OCH REGIONAL MEDICAL CENTER,250050,400 HOSPITAL ROAD /MAIL PO BOX 1506,STARKVILLE,MS,39759,2023,4,2023Q2,29,54203.0,5022389.0,3.92,11.93,35.01
68,1,ED,Benzodiazepine,Age,0-15 Years,4,2023-04-01,2023-04-30,0.006148549,Percent,LINCOLN MEDICAL CENTER,440102,106 MEDICAL CENTER BLVD,FAYETTEVILLE,TN,37334,2023,4,2023Q2,29,67631.0,4985157.0,3.94,11.94,35.1
69,1,ED,All Drugs,Age,0-15 Years,5,2023-05-01,2023-05-31,5.659093598,Percent,WEST HOLT MEMORIAL HOSPITAL,281343,406 W NEELY ST,ATKINSON,NE,68713,2023,5,2023Q2,30,74590.0,5006508.0,3.95,11.93,34.98
70,1,ED,All Opioids,Age,0-15 Years,5,2023-05-01,2023-05-31,0.032540528,Percent,MERCY HOSPITAL BOONEVILLE,041318,880 WEST MAIN,BOONEVILLE,AR,72927,2023,5,2023Q2,30,58700.0,5002194.0,4.04,11.9,35.15
71,1,ED,Stimulants,Age,0-15 Years,5,2023-05-01,2023-05-31,0.026624068,Percent,PRESBYTERIAN HOSPITAL,320021,1100 CENTRAL AVENUE SE,ALBUQUERQUE,NM,87106,2023,5,2023Q2,30,62268.0,5000012.0,3.95,12.12,35.09
72,1,ED,Cannabis,Age,0-15 Years,5,2023-05-01,2023-05-31,0.263282452,Percent,AVENIR BEHAVIORAL HEALTH CENTER,034035,16561 NORTH PARKVIEW PLACE,SURPRISE,AZ,85374,2023,5,2023Q2,30,77315.0,4997635.0,4.04,12.04,34.92
73,1,ED,Benzodiazepine,Age,0-15 Years,5,2023-05-01,2023-05-31,0.0,Percent,TAMPA VA MEDICAL CENTER,10063F,13000 BRUCE B DOWNS BLVD.,TAMPA,FL,33612,2023,5,2023Q2,30,73311.0,5001635.0,3.94,12.02,35.1
74,1,ED,All Drugs,Age,0-15 Years,6,2023-06-01,2023-06-30,5.655157547,Percent,LOWELL GENERAL HOSPITAL,220063,295 VARNUM AVENUE,LOWELL,MA,1854,2023,6,2023Q2,29,99858.0,5022434.0,4.05,11.95,34.94
75,1,ED,All Opioids,Age,0-15 Years,6,2023-06-01,2023-06-30,0.039521431,Percent,SUMMA HEALTH SYSTEM,360020,525 EAST MARKET STREET,AKRON,OH,44309,2023,6,2023Q2,29,67769.0,4983044.0,3.98,11.92,34.97
76,1,ED,Stimulants,Age,0-15 Years,6,2023-06-01,2023-06-30,0.010778572,Percent,OVIEDO MEDICAL CENTER,100329,8300 RED BUG LAKE RD,OVIEDO,FL,32765,2023,6,2023Q2,29,73311.0,5001635.0,3.94,12.02,35.1
77,1,ED,Cannabis,Age,0-15 Years,6,2023-06-01,2023-06-30,0.27665002,Percent,VA AMARILLO HEALTHCARE SYSTEM,45060F,6010 AMARILLO BLVD. WEST,AMARILLO,TX,79106,2023,6,2023Q2,29,75780.0,4981069.0,3.92,11.93,35.05
78,1,ED,Benzodiazepine,Age,0-15 Years,6,2023-06-01,2023-06-30,0.01437143,Percent,GUNDERSEN PALMER LUTHERAN HOSPITAL AND CLINICS,161316,112 JEFFERSON STREET,WEST UNION,IA,52175,2023,6,2023Q2,29,71433.0,4977623.0,4.07,11.96,34.95
79,1,ED,All Drugs,Age,0-15 Years,7,2023-07-01,2023-07-31,5.644427597,Percent,99th Medical Group (Nellis AFB),29001F,99 MDG 4700 Las Vegas Blvd,Nellis AFB,NV,89191,2023,7,2023Q3,30,76364.0,4989171.0,3.98,12.02,35.12
80,1,ED,All Opioids,Age,0-15 Years,7,2023-07-01,2023-07-31,0.034116755,Percent,LIFEWAYS HOSPITAL,134009,8050 WEST NORTHVIEW STREET,BOISE,ID,83704,2023,7,2023Q3,30,74942.0,5013487.0,3.96,12.03,35.02
81,1,ED,Stimulants,Age,0-15 Years,7,2023-07-01,2023-07-31,0.045489007,Percent,LOST RIVERS MEDICAL CENTER,131324,551 HIGHLAND DRIVE,ARCO,ID,83213,2023,7,2023Q3,30,74942.0,5013487.0,3.96,12.03,35.02
82,1,ED,Cannabis,Age,0-15 Years,7,2023-07-01,2023-07-31,0.163002274,Percent,FORT DUNCAN MEDICAL CENTER,450092,3333 N FOSTER MALDONADO BLVD,EAGLE PASS,TX,78852,2023,7,2023Q3,30,75780.0,4981069.0,3.92,11.93,35.05
83,1,ED,Benzodiazepine,Age,0-15 Years,7,2023-07-01,2023-07-31,0.003790751,Percent,TUG VALLEY ARH REGIONAL MEDICAL CENTER,180069,260 HOSPITAL DRIVE,SOUTH WILLIAMSON,KY,41503,2023,7,2023Q3,30,61118.0,5003166.0,4.06,11.95,35.07
84,1,ED,All Drugs,Age,0-15 Years,8,2023-08-01,2023-08-31,6.38656722,Percent,KEEFE MEMORIAL HOSPITAL,061343,602 N 6TH ST W,CHEYENNE WELLS,CO,80810,2023,8,2023Q3,30,92911.0,5019895.0,3.98,12.04,34.88
85,1,ED,All Opioids,Age,0-15 Years,8,2023-08-01,2023-08-31,0.04122784,Percent,OCEANS BEHAVIORAL HOSPITAL OF KENTWOOD,194091,921 AVENUE G,KENTWOOD,LA,70444,2023,8,2023Q3,30,58229.0,4985783.0,4.0,11.99,35.13
86,1,ED,Stimulants,Age,0-15 Years,8,2023-08-01,2023-08-31,0.022487913,Percent,ADVENTHEALTH ORLANDO,100007,601 E ROLLINS ST,ORLANDO,FL,32803,2023,8,2023Q3,30,73311.0,5001635.0,3.94,12.02,35.1
87,1,ED,Cannabis,Age,0-15 Years,8,2023-08-01,2023-08-31,0.251115026,Percent,TRI VALLEY HEALTH SYSTEM,281348,1305 WEST HIGHWAY 6/34,CAMBRIDGE,NE,69022,2023,8,2023Q3,30,74590.0,5006508.0,3.95,11.93,34.98
88,1,ED,Benzodiazepine,Age,0-15 Years,8,2023-08-01,2023-08-31,0.0,Percent,UPMC EAST,390328,2775 MOSSIDE BOULEVARD,MONROEVILLE,PA,15146,2023,8,2023Q3,30,73824.0,4995132.0,3.96,11.93,34.85
89,1,ED,All Drugs,Age,0-15 Years,9,2023-09-01,2023-09-30,6.897688681,Percent,CARSON VALLEY HEALTH,291306,1107 HIGHWAY 395,GARDNERVILLE,NV,89410,2023,9,2023Q3,29,76364.0,4989171.0,3.98,12.02,35.12
90,1,ED,All Opioids,Age,0-15 Years,9,2023-09-01,2023-09-30,0.029674569,Percent,WESTERN NY CHILDRENS PSYCHIATRIC CENTER,334065,1010 EAST & WEST ROAD,WEST SENECA,NY,14224,2023,9,2023Q3,29,82095.0,5003284.0,3.93,11.92,35.17
91,1,ED,Stimulants,Age,0-15 Years,9,2023-09-01,2023-09-30,0.009891523,Percent,ST ALEXIUS MEDICAL CENTER,140290,1555 N BARRINGTON RD,HOFFMAN ESTATES,IL,60169,2023,9,2023Q3,29,80306.0,5019028.0,4.0,12.06,35.0
92,1,ED,Cannabis,Age,0-15 Years,9,2023-09-01,2023-09-30,0.234099377,Percent,ST BERNARD PARISH HOSPITAL,190308,8000 WEST JUDGE PEREZ DRIVE,CHALMETTE,LA,70043,2023,9,2023Q3,29,58229.0,4985783.0,4.0,11.99,35.13
93,1,ED,Benzodiazepine,Age,0-15 Years,9,2023-09-01,2023-09-30,0.009891523,Percent,ASCENSION ST VINCENT CLAY,151309,1206 E NATIONAL AVE,BRAZIL,IN,47834,2023,9,2023Q3,29,69477.0,5005971.0,4.07,12.11,34.88
94,1,ED,All Drugs,Age,0-15 Years,10,2023-10-01,2023-10-31,5.908584169,Percent,HOUSTON METHODIST CLEAR LAKE HOSPITAL,450709,18300 ST JOHN DRIVE,NASSAU BAY,TX,77058,2023,10,2023Q4,30,75780.0,4981069.0,3.92,11.93,35.05
