Hospital Name,Year,VALUE
ADVENTHEALTH WESLEY CHAPEL,2024,0.0
ADVENTIST HEALTH AND RIDEOUT,2023,0.758791481
ADVENTIST HEALTH AND RIDEOUT,2024,34.75398061
ADVENTIST HEALTH BAKERSFIELD,2023,7.369257001
ADVENTIST HEALTH BAKERSFIELD,2024,1.146666667
ADVENTIST HEALTH CASTLE,2023,6.187456037
ADVENTIST HEALTH CLEARLAKE,2023,1.379310345
ADVENTIST HEALTH CLEARLAKE,2024,5.882352941
ADVENTIST HEALTH DELANO,2023,4.657389307
ADVENTIST HEALTH HANFORD,2023,11.32075472
ADVENTIST HEALTH HANFORD,2024,7.546595486
ADVENTIST HEALTH HOWARD MEMORIAL,2024,41.11453123
ADVENTIST HEALTH LODI MEMORIAL,2024,9.973078607
ADVENTIST HEALTH PORTLAND,2024,2.415458937
ADVENTIST HEALTH REEDLEY,2023,73.45830493
ADVENTIST HEALTH SIMI VALLEY,2024,15.107255533
ADVENTIST HEALTH SONORA,2023,10.0
ADVENTIST HEALTH SONORA,2024,0.0
ADVENTIST HEALTH ST HELENA,2023,3.6348618559999997
ADVENTIST HEALTH SYSTEM/WEST,2023,0.191158901
ADVENTIST HEALTH SYSTEM/WEST,2024,0.551224687
ADVENTIST HEALTH TEHACHAPI VALLEY,2023,5.405405405
ADVENTIST HEALTH TEHACHAPI VALLEY,2024,0.0
ADVENTIST HEALTH TILLAMOOK,2023,28.25220022
ADVENTIST HEALTH TULARE,2023,32.91139241
ADVENTIST HEALTH TULARE,2024,1.80887372
ADVENTIST HEALTH UKIAH VALLEY,2023,2.50990753
ADVENTIST HEALTH UKIAH VALLEY,2024,0.066471683
ADVENTIST HEALTH VALLEJO,2024,30.825870643
ADVENTIST HEALTH WHITE MEMORIAL,2024,2.476874154
ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,2023,2.711864407
ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,2024,0.432268006
ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,2023,0.0
ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,2024,40.28520499
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,2023,1.434034417
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,2024,3.921568627
ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,2024,16.761139755
ADVENTIST HINSDALE HOSPITAL,2024,15.134828203000001
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,2024,4.166666667
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,2023,0.481893558
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,2024,2.246390399
ADVOCATE CONDELL MEDICAL CENTER,2023,1.057082452
ADVOCATE CONDELL MEDICAL CENTER,2024,0.651694529
ADVOCATE GOOD SAMARITAN HOSPITAL,2023,8.840837553
ADVOCATE GOOD SAMARITAN HOSPITAL,2024,22.44897959
ADVOCATE GOOD SHEPHERD HOSPITAL,2023,0.142638139
ADVOCATE GOOD SHEPHERD HOSPITAL,2024,0.087155991
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,2023,43.09392265
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,2024,0.90881551
ADVOCATE LUTHERAN GENERAL HOSPITAL,2024,29.238429245
ADVOCATE SHERMAN HOSPITAL,2023,1.601570615
ADVOCATE TRINITY HOSPITAL,2023,7.547169811
ADVOCATE TRINITY HOSPITAL,2024,0.436176815
"AERIES HEALTHCARE OF ILLINOIS, INC., DBA RIVEREDGE HOSPITAL",2023,2.849904006
AFFILIATE OF VITRUVIAN HEALTH,2024,17.64705882
AHMC ANAHEIM REGIONAL MEDICAL CENTER,2023,18.55421687
AHMC ANAHEIM REGIONAL MEDICAL CENTER,2024,24.98184946
AHMC SETON MEDICAL CENTER,2023,4.877793667
"AHN EMERUS WESTMORELAND, LLC",2023,4.922279793
AHN WEXFORD HOSPITAL,2024,5.6
AIKEN REGIONAL MEDICAL CENTER,2023,8.333333333
AKRON CHILDREN'S HOSPITAL,2023,3.345346286
AKRON GENERAL MEDICAL CENTER,2023,0.365951841
ALAMANCE REGIONAL MEDICAL CENTER,2023,1.208489036
ALAMEDA HOSPITAL,2023,2.684563758
ALAMEDA HOSPITAL,2024,3.502210133
ALASKA NATIVE MEDICAL CENTER,2024,25.732894511
ALASKA PSYCHIATRIC INSTITUTE,2023,4.21648554
ALASKA REGIONAL HOSPITAL,2023,2.373770492
ALASKA REGIONAL HOSPITAL,2024,8.486238532
ALBANY MEDICAL CENTER HOSPITAL,2023,6.125964103
ALBANY VA MEDICAL CENTER,2023,3.726708075
ALBERT EINSTEIN MEDICAL CENTER,2023,2.197802198
ALBERT J SOLNIT CHILDREN'S CENTER - SOUTH CAMPUS,2023,11.949304814000001
ALEXANDRIA EMERGENCY HOSPITAL,2024,1.895539302
ALEXANDRIA VA MEDICAL CENTER,2023,2.934537246
ALEXANDRIA VA MEDICAL CENTER,2024,10.88709677
ALEXIAN BROTHERS BEHAVIORAL HLTH HOSP,2023,5.251641138
ALEXIAN BROTHERS MEDICAL CENTER 1,2023,6.111111111
ALEXIAN BROTHERS MEDICAL CENTER 1,2024,12.0
ALHAMBRA HOSPITAL MEDICAL CENTER,2024,42.32613291
ALICE PECK DAY MEMORIAL HOSPITAL,2023,5.010623229
ALICE PECK DAY MEMORIAL HOSPITAL,2024,11.76470588
"ALISO RIDGE BEHAVIORAL HEALTH, LLC",2024,13.833378408999998
ALLEGHANY  MEMORIAL HOSPITAL,2024,10.85106383
ALLEGHENY GENERAL HOSPITAL,2023,3.896103896
ALLEGHENY VALLEY HOSPITAL,2023,34.375
ALLEGIANCE BEHAVIORAL HEALTH CENTER OF PLAINVIEW,2024,28.37054397
ALLEN COUNTY REGIONAL HOSPITAL,2024,15.220125783
ALLEN HOSPITAL,2023,3.365384615
ALLEN HOSPITAL,2024,2.096838206
ALLEN PARISH HOSPITAL,2023,1.654135338
ALLENDALE COUNTY HOSPITAL,2024,2.754820937
ALLIANCE COMMUNITY HOSPITAL,2024,2.285846225
ALLIANCE HEALTH CENTER,2023,1.98019802
ALLIANCE HEALTH CENTER,2024,15.12605042
ALLIANCEHEALTH DURANT,2024,2.272727273
ALLIANCEHEALTH MADILL,2024,0.400186133
ALLIANCEHEALTH WOODWARD,2024,0.595060005
ALLINA HEALTH FARIBAULT MEDICAL CENTER,2023,11.902246604
ALLINA UNITED HOSPITAL,2023,0.952380952
ALLINA UNITED HOSPITAL,2024,27.69850217
ALOMERE HEALTH,2023,18.47133758
ALOMERE HEALTH,2024,15.53610503
ALTA BATES SUMMIT MEDICAL CENTER,2023,0.202866477
ALTA BATES SUMMIT MEDICAL CENTER,2024,23.89937107
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,2024,18.672075585
ALTA VISTA REGIONAL HOSPITAL,2024,6.801934222
ALTON MEMORIAL HOSPITAL,2023,1.342368924
ALTON MEMORIAL HOSPITAL,2024,5.607476636
ALTON MENTAL HEALTH CENTER,2023,18.216145175
ALTRU HOSPITAL,2024,0.068089705
ALTUS BAYTOWN HOSPITAL,2023,1.639344262
"ALTUS HOUSTON HOSPITAL, LP",2024,2.658360798
ALTUS LUMBERTON HOSPITAL,2024,2.479971013
ALVARADO PARKWAY INSTITUTE BEHAVIORAL HEALTH SYSTE,2023,32.35613464
ALVARADO PARKWAY INSTITUTE BEHAVIORAL HEALTH SYSTE,2024,0.794909959
AMBERWELL ATCHISON ASSOCIATION,2023,23.45132743
AMBERWELL ATCHISON ASSOCIATION,2024,1.489757914
AMERICAN FORK HOSPITAL,2024,0.768169711
AMERY HOSPITAL & CLINIC,2024,0.0
AMITA HEALTH RESURRECTION MEDICAL CENTER,2023,0.088866844
"ANAHEIM COMMUNITY HOSPITAL, LLC",2024,7.702702703
ANAHEIM GLOBAL MEDICAL CENTER,2024,2.412280702
ANCORA PSYCH HOSP,2023,37.731620580000005
ANDALUSIA HEALTH,2023,36.93495039
ANDALUSIA HEALTH,2024,23.52941176
ANDERSON COUNTY HOSPITAL,2024,40.574575155000005
ANDERSON HOSPITAL,2023,5.625777041
ANDERSON HOSPITAL,2024,19.53125
ANDERSON REGIONAL MEDICAL CENTER,2023,3.96039604
ANDERSON REGIONAL MEDICAL CENTER,2024,25.91240876
ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS,2024,26.937689964999997
ANDREW MCFARLAND MENTAL HLTH CTR,2024,56.927562699999996
ANDROSCOGGIN VALLEY HOSPITAL,2023,20.904257631
ANGEL MEDICAL CENTER,2024,0.843881857
"ANIMAS SURGICAL HOSPITAL, LLC",2023,34.232947238
ANMED HEALTH,2024,6.988769303
ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,2024,1.351351351
ANNA HOSPITAL CORPORATION D/B/A UNION COUNTY HOSPITAL,2023,1.851851852
ANNA HOSPITAL CORPORATION D/B/A UNION COUNTY HOSPITAL,2024,0.261096606
ANNA JAQUES HOSPITAL,2023,48.27586207
ANNA JAQUES HOSPITAL,2024,1.290322581
ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,2024,45.961008435
ANOKA METRO REGIONAL TREATMENT CENTER,2023,47.766049329999994
ANTELOPE MEMORIAL HOSPITAL,2024,2.78070048
ANTELOPE VALLEY HOSPITAL,2024,1.756076048
"APOLLO BEHAVIORAL HEALTH HOSPITAL, L L C",2023,8.450704225
"APOLLO BEHAVIORAL HEALTH HOSPITAL, L L C",2024,0.808381018
APPALACHIAN BEHAVIORAL HEALTH CARE,2023,1.584501069
APPALACHIAN REGIONAL BEHAVIORAL HEALTHCARE,2024,29.16666667
APPLETON AREA HEALTH,2023,14.49864499
APPLETON AREA HEALTH,2024,0.0
APPLING HEALTHCARE,2023,25.82996835
APPLING HEALTHCARE,2024,30.20833333
ARBOR HEALTH MORTON HOSPITAL,2024,27.94117647
ARBOUR HOSPITAL,2023,43.02325581
ARBOUR HOSPITAL,2024,0.0
ARBOUR HUMAN RESOURCE INSTITUTE,2023,2.199081357
ARBOUR HUMAN RESOURCE INSTITUTE,2024,5.223880597
ARBOUR-FULLER HOSPITAL,2023,3.550295858
ARBOUR-FULLER HOSPITAL,2024,9.953222453
ARBUCKLE MEMORIAL HOSPITAL,2024,1.759893455
ARCHBOLD BROOKS,2023,0.884955752
ARCHBOLD BROOKS,2024,35.48922056
ARCHBOLD MEMORIAL HOSPITAL,2024,37.774415989
ARCHBOLD MITCHELL,2023,21.79404145
ARH OUR LADY OF THE WAY,2024,4.224719143
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,2023,12.22222222
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,2024,0.561432539
ARIZONA SPINE AND JOINT HOSPITAL,2023,3.346564736
ARIZONA STATE HOSPITAL,2023,2.878195734
ARIZONA STATE HOSPITAL,2024,5.357142857
ARKANSAS CHILDREN'S HOSPITAL,2023,14.591188346
"ARKANSAS CHILDREN'S NORTHWEST, INC",2023,0.230290279
"ARKANSAS CHILDREN'S NORTHWEST, INC",2024,2.222222222
"ARKANSAS HEART HOSPITAL, LLC",2024,65.07823331
ARKANSAS HEART HOSPITAL-ENCORE,2024,30.732397406
ARKANSAS METHODIST MEDICAL CENTER,2023,1.154340088
ARKANSAS STATE HOSPITAL,2023,3.759398496
ARKANSAS STATE HOSPITAL,2024,0.0
ARKANSAS SURGICAL HOSPITAL,2023,1.623903865
ARKANSAS SURGICAL HOSPITAL,2024,7.407572781
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,2023,6.593406593
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,2024,13.71414942
ARNOT OGDEN MEDICAL CENTER,2024,2.040816327
ARROWHEAD BEHAVIORAL HEALTH,2024,22.67759563
ARROWHEAD REGIONAL MEDICAL CENTER,2023,15.73033708
ARROWHEAD REGIONAL MEDICAL CENTER,2024,2.702702703
ARTESIA GENERAL HOSPITAL,2024,2.8660723160000003
ASANTE ASHLAND COMMUNITY HOSPITAL,2024,1.923076923
ASANTE ROGUE REGIONAL MEDICAL CENTER,2023,3.390452876
ASANTE THREE RIVERS MEDICAL CENTER,2024,3.514376997
ASCENSION  SETON HAYS,2024,8.108108108
ASCENSION ALL SAINTS HOSPITAL,2024,0.692445432
ASCENSION BORGESS ALLEGAN HOSPITAL,2023,8.310991957
ASCENSION BORGESS ALLEGAN HOSPITAL,2024,26.8572061
ASCENSION BORGESS LEE HOSPITAL,2024,2.46931356
ASCENSION BRIGHTON CENTER FOR RECOVERY,2023,2.314020791
ASCENSION CALUMET HOSPITAL,2024,0.070749155
ASCENSION COLUMBIA ST MARY'S HOSPITAL MILWAUKEE,2024,1.651651652
ASCENSION GENESYS HOSPITAL,2023,43.82716049
ASCENSION GENESYS HOSPITAL,2024,10.3030303
ASCENSION MACOMB OAKLAND HOSP-WARREN CAMPUS,2023,25.12886598
ASCENSION MACOMB OAKLAND HOSP-WARREN CAMPUS,2024,0.854700855
ASCENSION NE WISCONSIN - ST ELIZABETH CAMPUS,2023,2.853159851
ASCENSION PROVIDENCE,2024,0.021728334
"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",2023,9.694088466
ASCENSION PROVIDENCE ROCHESTER HOSPITAL,2023,35.587972918000006
ASCENSION RIVER DISTRICT HOSPITAL,2023,34.791040791
ASCENSION SACRED HEART BAY,2023,3.448275862
ASCENSION SACRED HEART BAY,2024,3.029218843
ASCENSION SACRED HEART GULF,2023,27.324178111
ASCENSION SAINT THOMAS BEHAVIORAL HEALTH HOSPITAL,2024,2.59166095
ASCENSION SAINT THOMAS HOSPITAL,2024,28.75202485
ASCENSION SAINT THOMAS THREE RIVERS,2023,32.91262136
ASCENSION SE WISCONSIN HOSPITAL,2023,9.090909091
ASCENSION SETON  SOUTHWEST,2023,22.44897959
ASCENSION SETON BASTROP,2024,3.019287085
ASCENSION SETON EDGAR B DAVIS,2023,1.5826248
ASCENSION SETON HIGHLAND LAKES,2024,16.83673469
ASCENSION SETON MEDICAL CENTER AUSTIN,2024,49.25373134
ASCENSION SETON NORTHWEST,2024,61.2244898
ASCENSION SETON SHOAL CREEK,2024,34.89452128
ASCENSION SETON SMITHVILLE,2023,36.84210526
ASCENSION SETON WILLIAMSON,2023,0.180280832
ASCENSION ST FRANCIS HOSPITAL,2023,0.955414013
ASCENSION ST JOHN BROKEN ARROW,2024,4.301075269
ASCENSION ST JOHN HOSPITAL,2023,0.0
ASCENSION ST JOHN HOSPITAL,2024,0.074775673
ASCENSION ST JOHN JANE PHILLIPS,2023,0.716493144
ASCENSION ST JOHN MEDICAL CENTER,2024,2.197802198
ASCENSION ST JOHN NOWATA,2023,6.128625473
ASCENSION ST JOHN SAPULPA,2024,13.04744526
ASCENSION ST MARY'S HOSPITAL,2024,1.910289846
ASCENSION ST VINCENT ANDERSON,2023,29.72972973
ASCENSION ST VINCENT ANDERSON,2024,14.87603306
ASCENSION ST VINCENT CARMEL,2023,28.91994223
ASCENSION ST VINCENT CARMEL,2024,27.60736196
ASCENSION ST VINCENT CLAY,2023,0.009891523
ASCENSION ST VINCENT CLAY,2024,4.219409283
ASCENSION ST VINCENT EVANSVILLE,2024,7.802362164
ASCENSION ST VINCENT FISHERS,2023,6.797345269000001
ASCENSION ST VINCENT HOSPITAL,2023,7.578705553
ASCENSION ST VINCENT JENNINGS,2023,1.984867506
ASCENSION ST VINCENT JENNINGS,2024,0.067231411
ASCENSION ST VINCENT KOKOMO,2023,3.48985408
ASCENSION ST VINCENT MERCY,2023,20.88607595
ASCENSION ST VINCENT MERCY,2024,13.92523364
ASCENSION ST VINCENT RANDOLPH,2023,1.694915254
ASCENSION ST VINCENT RANDOLPH,2024,0.219496449
ASCENSION ST VINCENT SALEM,2023,1.098901099
ASCENSION ST VINCENT SALEM,2024,16.25
ASCENSION ST VINCENT WARRICK,2024,0.0
ASCENSION ST VINCENT WILLIAMSPORT,2024,8.439034293
ASCENSION ST VINCENT'S CLAY COUNTY,2023,10.531654409
ASCENSION ST VINCENT'S RIVERSIDE,2023,2.569007227
ASCENSION ST VINCENT'S SOUTHSIDE,2024,3.560839246
ASCENSION ST VINCENT'S ST JOHNS COUNTY,2023,6.206896552
ASCENSION ST VINCENT'S ST JOHNS COUNTY,2024,2.827552807
"ASCENSION VIA CHRISTI HOSPITAL MANHATTAN, INC",2023,30.899474806
"ASCENSION VIA CHRISTI HOSPITALS WICHITA, INC.",2023,1.463263478
ASCENSION WISCONSIN HOSP MENOMONEE FALLS CAMPUS,2023,9.848484848
ASEM,2023,0.677684807
ASHE MEMORIAL HOSPITAL,2024,0.997150997
ASHEVILLE-OTEEN VA MEDICAL CENTER,2024,0.084044439
ASHLAND HEALTH CENTER,2023,6.701388888
ASHLEY COUNTY MEDICAL CENTER,2024,9.635951846000001
ASHLEY MEDICAL CENTER,2024,32.21294734
ASHLEY REGIONAL MEDICAL CENTER,2024,1.612903226
ASHTABULA COUNTY MEDICAL CENTER,2024,4.347826087
"ASOCIACION HOSPITAL DEL MAESTRO, INC",2024,0.336376742
ASPEN GROVE BEHAVIORAL HOSPITAL,2024,0.318302387
ASPEN HILLS HEALTHCARE CENTER,2023,11.436320602
ASPEN VALLEY HOSPITAL,2023,3.812766105
ASPIRE HEALTH PARTNERS,2024,10.900358696000001
ASPIRE HOSPITAL,2023,26.61078602
ASPIRUS EAGLE RIVER HOSPITAL,2024,0.097222222
"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",2023,18.017336727
ASPIRUS IRONWOOD HOSPITAL,2023,35.547029596
ASPIRUS KEWEENAW HOSPITAL AND CLINICS,2023,0.131708923
ASPIRUS KEWEENAW HOSPITAL AND CLINICS,2024,0.307219662
"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC",2024,4.0
ASPIRUS MERRILL HOSPITAL,2023,2.467532468
ASPIRUS RHINELANDER HOSPITAL,2024,25.63291139
ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC,2024,2.185143987
ASPIRUS STANLEY HOSPITAL,2024,0.043205027
"ASPIRUS STEVENS POINT HOSPITAL & CLINICS, INC.",2024,0.568181818
ASPIRUS TOMAHAWK HOSPITAL,2023,2.34375
ASPIRUS WAUSAU HOSPITAL,2024,0.626959248
ASSURANCE HEALTH CINCINNATI LLC,2023,4.972215791
ASSURANCE HEALTH HUDSON LLC,2023,0.0
ASSURANCE HEALTH PSYCHIATRIC HOSPITAL,2023,43.034753336
ASSURANCE HEALTH TOLEDO LLC,2024,17.10526316
ASTERA HEALTH,2024,7.006588652
ASTRIA SUNNYSIDE HOSPITAL,2024,6.042553191
ASTRIA TOPPENISH HOSPITAL,2023,0.0
ATHENS LIMESTONE HOSPITAL,2024,7.402794325
ATHOL MEMORIAL HOSPITAL,2023,0.84005549
ATHOL MEMORIAL HOSPITAL,2024,1.592097223
ATHUR M BLANK HOSPITAL,2023,32.27091633
ATHUR M BLANK HOSPITAL,2024,9.322033898
ATLANTIC GENERAL HOSPITAL,2023,0.987654321
ATLANTIC GENERAL HOSPITAL,2024,33.52941176
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,2023,0.765306122
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,2024,2.777777778
ATMORE COMMUNITY HOSPITAL,2024,63.78142570999999
ATOKA COUNTY MEDICAL CENTER,2024,13.99662732
ATRIUM HEALTH ANSON,2024,2.824360106
ATRIUM HEALTH CLEVELAND,2023,1.990049751
ATRIUM HEALTH FLOYD MEDICAL CENTER,2023,1.041666667
ATRIUM HEALTH FLOYD POLK MEDICAL CENTER,2023,10.07751938
ATRIUM HEALTH FLOYD POLK MEDICAL CENTER,2024,0.892857143
ATRIUM HEALTH LINCOLN,2024,33.06288032
ATRIUM HEALTH NAVICENT PEACH,2024,52.30843607
ATRIUM HEALTH NAVICENT THE MEDICAL CENTER,2023,7.857142857
ATRIUM HEALTH NAVICENT THE MEDICAL CENTER,2024,3.448275862
ATRIUM HEALTH PINEVILLE,2024,17.51824818
ATRIUM HEALTH UNION,2024,8.955223881
ATRIUM HEALTH UNIVERSITY CITY,2024,27.16814159
ATRIUM MEDICAL CENTER,2024,12.8
AUBURN  COMMUNITY  HOSPITAL,2023,0.387596899
AUDUBON COUNTY MEMORIAL HOSPITAL,2023,0.978126386
AUDUBON COUNTY MEMORIAL HOSPITAL,2024,4.603580563
AUGUSTA HEALTH,2024,0.787401575
AUGUSTA VA MEDICAL CENTER,2023,3.445264746
AULTMAN HOSPITAL,2024,10.25641026
AULTMAN ORRVILLE HOSPITAL,2023,45.53571429
AURELIA OSBORN FOX MEMORIAL HOSPITAL,2024,46.72897196
AURORA BAYCARE MEDICAL CTR,2023,5.954465849
AURORA BEHAVIORAL HEALTH SYSTEM,2024,5.817646995
"AURORA BEHAVIORAL HEALTHCARE-SANTA ROSA, LLC",2023,166646.442307692
AURORA BEHAVIORAL HEALTHCARE-TEMPE,2023,1.944715614
AURORA BEHAVIORAL HEALTHCARE-TEMPE,2024,5.035971223
AURORA CHARTER OAK,2023,0.93825898
AURORA CHARTER OAK,2024,25.17241379
AURORA HEALTH CARE CENTRAL INC,2023,2.142857143
AURORA LAKELAND MEDICAL CENTER,2023,2.040816327
AURORA LAS ENCINAS,2023,7.692307692
AURORA LAS ENCINAS,2024,16.37995512
AURORA MEDICAL CENTER,2024,2.739726027
AURORA MEDICAL CENTER - SUMMIT,2023,2.170988715
AURORA MEDICAL CENTER KENOSHA,2023,3.919749507
AURORA MEDICAL CTR MANITOWOC COUNTY,2023,2.055292204
AURORA MEDICAL CTR OSHKOSH,2024,1.785714286
AURORA MEDICAL CTR WASHINGTON COUNTY,2024,0.0
AURORA MEMORIAL HOSPITAL BURLINGTON,2024,1.061007958
AURORA PSYCHIATRIC HOSPITAL,2024,3.25203252
AURORA SAN DIEGO,2024,3.644837823
AURORA ST LUKES MEDICAL CENTER,2023,0.846310864
AURORA VISTA DEL MAR HOSPITAL,2023,35.000419241
AUSTIN OAKS HOSPITAL,2023,1.327433628
AUSTIN STATE HOSPITAL,2023,7.272727273
AUXILIO MUTUO HOSPITAL,2023,11.2
AVALA,2024,37.930308132
AVENIR BEHAVIORAL HEALTH CENTER,2023,0.263282452
AVENIR BEHAVIORAL HEALTH CENTER,2024,2.147788289
AVERA CREIGHTON HOSPITAL,2023,50.616586170000005
AVERA DE SMET MEMORIAL HOSPITAL - CAH,2023,3.353658537
AVERA DELLS AREA HOSPITAL  - CAH,2024,0.925925926
AVERA FLANDREAU HOSPITAL - CAH,2023,5.263157895
AVERA GRANITE FALLS,2024,4.490873267
AVERA GREGORY HOSPITAL,2024,6.037735849
AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC,2023,8.46325167
AVERA HEART HOSPITAL OF SOUTH DAKOTA,2024,19.02834008
AVERA HOLY FAMILY HOSPITAL,2023,0.0
AVERA HOLY FAMILY HOSPITAL,2024,4.474272931
AVERA MARSHALL REGIONAL MEDICAL CTR,2023,39.66369931
AVERA MARSHALL REGIONAL MEDICAL CTR,2024,5.494505495
